업소명,소재지도로명,소재지지번,업태명,주된음식,행정동명
어머니가 구워주신 생선구이,서울특별시 서대문구 연희로 185 (연희동),서울특별시 서대문구 연희동  78번지 1호  ,한식,일식,연희동
돌깨마을 맷돌순두부,서울특별시 서대문구 연세로5가길 3 (창천동(2층)),서울특별시 서대문구 창천동  57번지 7호  (2층),분식,순두부찌개,신촌동
이화수 전통육개장,서울특별시 서대문구 충정로 18 1층 (충정로3가),서울특별시 서대문구 충정로3가  360번지 24호  1층,한식,설렁탕,충현동
정원맛집,서울특별시 서대문구 인왕시장길 24 1호동 2층 202호 (홍제동),서울특별시 서대문구 홍제동  298번지 7호  1호동 2층 202호 전체,한식,한식,홍제제3동
정원맛집,서울특별시 서대문구 인왕시장길 24 1호동 2층 202호 (홍제동),서울특별시 서대문구 홍제동  298번지 7호  1호동 2층 202호 전체,한식,,홍제제3동
전원오리,서울특별시 서대문구 인왕시장길 24 1호동 2층 202호 (홍제동),서울특별시 서대문구 홍제동  298번지 7호  1호동 2층 202호 전체,한식,한식,홍제제3동
전원오리,서울특별시 서대문구 인왕시장길 24 1호동 2층 202호 (홍제동),서울특별시 서대문구 홍제동  298번지 7호  1호동 2층 202호 전체,한식,,홍제제3동
정원맛집,서울특별시 서대문구 인왕시장길 24 1호동 2층 202호 (홍제동),서울특별시 서대문구 홍제동  298번지 7호  1호동 2층 202호 전체,한식,한식,홍제제3동
정원맛집,서울특별시 서대문구 인왕시장길 24 1호동 2층 202호 (홍제동),서울특별시 서대문구 홍제동  298번지 7호  1호동 2층 202호 전체,한식,,홍제제3동
전원오리,서울특별시 서대문구 인왕시장길 24 1호동 2층 202호 (홍제동),서울특별시 서대문구 홍제동  298번지 7호  1호동 2층 202호 전체,한식,한식,홍제제3동
전원오리,서울특별시 서대문구 인왕시장길 24 1호동 2층 202호 (홍제동),서울특별시 서대문구 홍제동  298번지 7호  1호동 2층 202호 전체,한식,,홍제제3동
만선,서울특별시 서대문구 통일로9안길 26 1층 (충정로2가),서울특별시 서대문구 충정로2가  16번지 13호  1층,한식,,충현동
육정성,서울특별시 서대문구 연희맛로 15 1~2층 (연희동),서울특별시 서대문구 연희동  189번지 7호  1~2층,한식,갈비찜,연희동
황토골 옹기집,,서울특별시 서대문구 충정로3가  464번지 116호  117118(지하1층),일식,,충현동
황토골 옹기집,,서울특별시 서대문구 충정로3가  464번지 116호  117118(지하1층),일식,오리훈제,충현동
보길도활어회,서울특별시 서대문구 북아현로 67-1 (북아현동),서울특별시 서대문구 북아현동  180번지 17호  ,일식,모듬회,북아현동
보길도활어회,서울특별시 서대문구 북아현로 67-1 (북아현동),서울특별시 서대문구 북아현동  180번지 17호  ,일식,회,북아현동
장어세상,서울특별시 서대문구 수색로10길 11 (북가좌동),서울특별시 서대문구 북가좌동  371번지 11호  ,한식,등심,북가좌제1동
장어세상,서울특별시 서대문구 수색로10길 11 (북가좌동),서울특별시 서대문구 북가좌동  371번지 11호  ,한식,돼지갈비,북가좌제1동
육회지존1,서울특별시 서대문구 명물길 26 (창천동(지하1층)),서울특별시 서대문구 창천동  13번지 9호  (지하1층),한식,삼계탕,신촌동
쏘렌토,서울특별시 서대문구 가좌로 114 1층 (홍은동),서울특별시 서대문구 홍은동  366번지 25호  1층 전체,한식,스파게티,홍은제2동
쏘렌토,서울특별시 서대문구 가좌로 114 1층 (홍은동),서울특별시 서대문구 홍은동  366번지 25호  1층 전체,한식,스파게티,홍은제2동
무교동낙지(신촌점),서울특별시 서대문구 신촌로 87-4 (창천동외1필지),서울특별시 서대문구 창천동  30번지 11호  외1필지,한식,낙지볶음,신촌동
무교동낙지(신촌점),서울특별시 서대문구 신촌로 87-4 (창천동외1필지),서울특별시 서대문구 창천동  30번지 11호  외1필지,한식,한식,신촌동
시미즈,서울특별시 서대문구 충정로 71-1 (충정로2가),서울특별시 서대문구 충정로2가  89번지  ,통닭(치킨),참치정식,충현동
하남돼지집,서울특별시 서대문구 충정로 71-1 (충정로2가),서울특별시 서대문구 충정로2가  89번지  ,통닭(치킨),참치정식,충현동
시미즈,서울특별시 서대문구 충정로 71-1 (충정로2가),서울특별시 서대문구 충정로2가  89번지  ,통닭(치킨),참치정식,충현동
하남돼지집,서울특별시 서대문구 충정로 71-1 (충정로2가),서울특별시 서대문구 충정로2가  89번지  ,통닭(치킨),참치정식,충현동
율도참치,서울특별시 서대문구 연세로4길 12 (창천동외 1필지),서울특별시 서대문구 창천동  29번지 111호  외 1필지,한식,참치회코스,신촌동
아미산,서울특별시 서대문구 연희로32길 151 지하1~지상2층 (연희동),서울특별시 서대문구 연희동  168번지 11호  지하1층~지상2층,한식,자장면,연희동
오징어 세상,서울특별시 서대문구 연희맛로 7-6 (연희동),서울특별시 서대문구 연희동  189번지 13호  ,경양식,파스타,연희동
차이나,서울특별시 서대문구 가좌로 142 (홍은동),서울특별시 서대문구 홍은동  343번지 1호  ,중국식,,홍은제2동
이화찜닭,서울특별시 서대문구 이화여대길 43 (대현동 지하1층),서울특별시 서대문구 대현동  56번지 126호  지하1층,한식,찜닭,신촌동
이화찜닭,서울특별시 서대문구 이화여대길 43 (대현동 지하1층),서울특별시 서대문구 대현동  56번지 126호  지하1층,한식,한식,신촌동
더연세김치찌개,서울특별시 서대문구 연세로9길 22 1층 (창천동),서울특별시 서대문구 창천동  52번지 32호  1층 일부,한식,삼겹살,신촌동
더연세김치찌개,서울특별시 서대문구 연세로9길 22 1층 (창천동),서울특별시 서대문구 창천동  52번지 32호  1층 일부,한식,한식,신촌동
더연세김치찌개,서울특별시 서대문구 연세로9길 22 1층 (창천동),서울특별시 서대문구 창천동  52번지 32호  1층 일부,한식,삼겹살,신촌동
더연세김치찌개,서울특별시 서대문구 연세로9길 22 1층 (창천동),서울특별시 서대문구 창천동  52번지 32호  1층 일부,한식,한식,신촌동
오리와메밀,서울특별시 서대문구 충정로 43-4 (충정로3가),서울특별시 서대문구 충정로3가  190번지 5호  ,한식,김지.된장찌게.  메밀,충현동
전원주손큰할매순대국,서울특별시 서대문구 통일로9안길 38 1층 (충정로2가),서울특별시 서대문구 충정로2가  26번지  1층 전체,일식,짜장면,충현동
손큰할매순대국 서대문역점,서울특별시 서대문구 통일로9안길 38 1층 (충정로2가),서울특별시 서대문구 충정로2가  26번지  1층 전체,일식,짜장면,충현동
전원주손큰할매순대국,서울특별시 서대문구 통일로9안길 38 1층 (충정로2가),서울특별시 서대문구 충정로2가  26번지  1층 전체,일식,짜장면,충현동
손큰할매순대국 서대문역점,서울특별시 서대문구 통일로9안길 38 1층 (충정로2가),서울특별시 서대문구 충정로2가  26번지  1층 전체,일식,짜장면,충현동
백년추어탕,서울특별시 서대문구 증가로 9 (연희동),서울특별시 서대문구 연희동  133번지 1호  ,한식,추어탕,연희동
압구정샤브샤브,서울특별시 서대문구 연대동문길 26 (대신동),서울특별시 서대문구 대신동  50번지 1호  ,한식,샤브샤브,신촌동
압구정샤브샤브,서울특별시 서대문구 연대동문길 26 (대신동),서울특별시 서대문구 대신동  50번지 1호  ,한식,한식,신촌동
이지인디아(ezIndia),서울특별시 서대문구 연세로 20 (창천동지상3층),서울특별시 서대문구 창천동  9번지 20호  지상3층,호프/통닭,카레덮밥,신촌동
벙커원,서울특별시 서대문구 충정로 20 1층 (충정로3가),서울특별시 서대문구 충정로3가  270번지  1층,호프/통닭,햄버거,충현동
동강참치,,서울특별시 서대문구 대현동  104번지 39호  (지상1층),일식,회정식,신촌동
무교동낙지마을,서울특별시 서대문구 모래내로 285 (홍은동(지상1층)),서울특별시 서대문구 홍은동  405번지 8호  (지상1층),한식,낙지볶음,홍은제1동
무교동낙지마을,서울특별시 서대문구 모래내로 285 (홍은동(지상1층)),서울특별시 서대문구 홍은동  405번지 8호  (지상1층),한식,,홍은제1동
무교동낙지마을,서울특별시 서대문구 모래내로 285 (홍은동(지상1층)),서울특별시 서대문구 홍은동  405번지 8호  (지상1층),한식,낙지전골,홍은제1동
이화정,서울특별시 서대문구 연희맛로 13 (연희동(지하1층지상12층)),서울특별시 서대문구 연희동  189번지 8호  (지하1층지상12층),중국식,탕수육.자장면,연희동
등촌 샤브칼국수,서울특별시 서대문구 모래내로 273 (홍은동(지상12층)),서울특별시 서대문구 홍은동  415번지 6호  (지상12층),한식,샤브샤브,홍은제2동
다다,서울특별시 서대문구 이화여대3길 14 2층 (대현동),서울특별시 서대문구 대현동  56번지 34호  2층,경양식,알탕,신촌동
다다,서울특별시 서대문구 이화여대3길 14 2층 (대현동),서울특별시 서대문구 대현동  56번지 34호  2층,경양식,한식,신촌동
한우명가,서울특별시 서대문구 연희로 46 (연희동111(지상1층)),서울특별시 서대문구 연희동  353번지 103호  111(지상1층),한식,소갈비,연희동
에머이 신촌점,서울특별시 서대문구 명물길 10 1층 (창천동),서울특별시 서대문구 창천동  18번지 1호  1층,외국음식전문점(인도태국등),낙지불고기,신촌동
에머이 신촌점,서울특별시 서대문구 명물길 10 1층 (창천동),서울특별시 서대문구 창천동  18번지 1호  1층,외국음식전문점(인도태국등),한식,신촌동
에머이 신촌점,서울특별시 서대문구 명물길 10 1층 (창천동),서울특별시 서대문구 창천동  18번지 1호  1층,외국음식전문점(인도태국등),설렁탕,신촌동
연일선지해장국,서울특별시 서대문구 수색로 127 1층 (북가좌동),서울특별시 서대문구 북가좌동  392번지 26호  1층,한식,해장국.감자탕,북가좌제1동
안동면가,서울특별시 서대문구 수색로 127 1층 (북가좌동),서울특별시 서대문구 북가좌동  392번지 26호  1층,한식,해장국.감자탕,북가좌제1동
굴대박,서울특별시 서대문구 독립문로 66-1 (냉천동(지상12층)),서울특별시 서대문구 냉천동  26번지  (지상12층),한식,굴밥.굴요리,천연동
연희녹두삼계탕,서울특별시 서대문구 연희맛로 43-1 (연희동(지하1층지상12층)),서울특별시 서대문구 연희동  133번지 20호  (지하1층지상12층),한식,삼계탕,연희동
주식회사 목란,서울특별시 서대문구 연희로15길 21 (연희동),서울특별시 서대문구 연희동  132번지 28호  ,한식,소등심,연희동
주식회사 목란,서울특별시 서대문구 연희로15길 21 (연희동),서울특별시 서대문구 연희동  132번지 28호  ,한식,한식,연희동
주식회사 목란,서울특별시 서대문구 연희로15길 21 (연희동),서울특별시 서대문구 연희동  132번지 28호  ,한식,해장국.감자탕,연희동
주식회사 목란,서울특별시 서대문구 연희로15길 21 (연희동),서울특별시 서대문구 연희동  132번지 28호  ,한식,탕수육,연희동
아이포(iPho),서울특별시 서대문구 명물길 49 2층 (창천동),서울특별시 서대문구 창천동  2번지 23호  ,외국음식전문점(인도태국등),생선회,신촌동
아이포(iPho),서울특별시 서대문구 명물길 49 2층 (창천동),서울특별시 서대문구 창천동  2번지 23호  ,외국음식전문점(인도태국등),일식,신촌동
신촌점 돌배기집,서울특별시 서대문구 명물길 37 (창천동),서울특별시 서대문구 창천동  45번지 1호  ,한식,부대찌게,신촌동
신촌점 돌배기집,서울특별시 서대문구 명물길 37 (창천동),서울특별시 서대문구 창천동  45번지 1호  ,한식,한식,신촌동
타볼로(Tavolo),서울특별시 서대문구 통일로9안길 22 1층 (냉천동),서울특별시 서대문구 냉천동  184번지 29호  1층,한식,동태탕.해물찜,천연동
타볼로(Tavolo),서울특별시 서대문구 통일로9안길 22 1층 (냉천동),서울특별시 서대문구 냉천동  184번지 29호  1층,한식,갈비탕찜,천연동
홍제솥뚜껑 삼겹살,서울특별시 서대문구 홍제내길 128 (홍제동(지상1층)),서울특별시 서대문구 홍제동  334번지 85호  (지상1층),탕류(보신용),대구뽈살,홍제제1동
홍콩반점0410(신촌2호점),서울특별시 서대문구 명물길 14 지층 (창천동),서울특별시 서대문구 창천동  13번지 29호  ,중국식,짬뽕.탕수육,신촌동
국민순대국,서울특별시 서대문구 연희로 81-26 (연희동56호 지상1층),서울특별시 서대문구 연희동  188번지 55호  56호 지상1층,한식,참치,연희동
국민순대국,서울특별시 서대문구 연희로 81-26 (연희동56호 지상1층),서울특별시 서대문구 연희동  188번지 55호  56호 지상1층,한식,일식,연희동
백암왕순대,서울특별시 서대문구 모래내로 344 (홍은동),서울특별시 서대문구 홍은동  274번지 89호  ,한식,순대국,홍은제1동
한솔숯불식당,서울특별시 서대문구 증가로23나길 32 (북가좌동(지상1층)),서울특별시 서대문구 북가좌동  294번지 15호  (지상1층),한식,갈비.해물,북가좌제1동
함흥냉면(돼지갈비삼겹살),서울특별시 서대문구 충정로 13 지하1층 8호 (충정로3가),서울특별시 서대문구 충정로3가  63번지 1호  -8,한식,냉면,충현동
닭한마리,서울특별시 서대문구 연세로2길 77 (대현동),서울특별시 서대문구 대현동  104번지 69호  외 1필지(지상1층),한식,닭한마리,신촌동
평창두부마을,서울특별시 서대문구 응암로 145 (북가좌동(지상1층)),서울특별시 서대문구 북가좌동  335번지 9호  (지상1층),한식,두부전문,북가좌제1동
평창두부마을,서울특별시 서대문구 응암로 145 (북가좌동(지상1층)),서울특별시 서대문구 북가좌동  335번지 9호  (지상1층),한식,순두부,북가좌제1동
풍미대가,서울특별시 서대문구 응암로 145 (북가좌동(지상1층)),서울특별시 서대문구 북가좌동  335번지 9호  (지상1층),한식,두부전문,북가좌제1동
풍미대가,서울특별시 서대문구 응암로 145 (북가좌동(지상1층)),서울특별시 서대문구 북가좌동  335번지 9호  (지상1층),한식,순두부,북가좌제1동
풍미흑염소,서울특별시 서대문구 응암로 145 (북가좌동(지상1층)),서울특별시 서대문구 북가좌동  335번지 9호  (지상1층),한식,두부전문,북가좌제1동
풍미흑염소,서울특별시 서대문구 응암로 145 (북가좌동(지상1층)),서울특별시 서대문구 북가좌동  335번지 9호  (지상1층),한식,순두부,북가좌제1동
평창두부마을,서울특별시 서대문구 응암로 145 (북가좌동(지상1층)),서울특별시 서대문구 북가좌동  335번지 9호  (지상1층),한식,두부전문,북가좌제1동
평창두부마을,서울특별시 서대문구 응암로 145 (북가좌동(지상1층)),서울특별시 서대문구 북가좌동  335번지 9호  (지상1층),한식,순두부,북가좌제1동
풍미대가,서울특별시 서대문구 응암로 145 (북가좌동(지상1층)),서울특별시 서대문구 북가좌동  335번지 9호  (지상1층),한식,두부전문,북가좌제1동
풍미대가,서울특별시 서대문구 응암로 145 (북가좌동(지상1층)),서울특별시 서대문구 북가좌동  335번지 9호  (지상1층),한식,순두부,북가좌제1동
풍미흑염소,서울특별시 서대문구 응암로 145 (북가좌동(지상1층)),서울특별시 서대문구 북가좌동  335번지 9호  (지상1층),한식,두부전문,북가좌제1동
풍미흑염소,서울특별시 서대문구 응암로 145 (북가좌동(지상1층)),서울특별시 서대문구 북가좌동  335번지 9호  (지상1층),한식,순두부,북가좌제1동
대청마루,,서울특별시 서대문구 홍제동  373번지  ,한식,쌈밥.생태찌게,홍제제1동
채선당(신촌점),서울특별시 서대문구 연세로 23 (창천동(지하1층)),서울특별시 서대문구 창천동  33번지 43호  (지하1층),한식,샤브샤브,신촌동
따봉이네,서울특별시 서대문구 신촌로 117 (창천동),서울특별시 서대문구 창천동  20번지 44호  ,한식,비빔밥,신촌동
따봉이네,서울특별시 서대문구 신촌로 117 (창천동),서울특별시 서대문구 창천동  20번지 44호  ,한식,한식,신촌동
굴레방남원추어탕,,서울특별시 서대문구 북아현동  147번지 7호  (지상1층),한식,정식,북아현동
굴레방남원추어탕,,서울특별시 서대문구 북아현동  147번지 7호  (지상1층),한식,한식,북아현동
굴레방남원추어탕,,서울특별시 서대문구 북아현동  147번지 7호  (지상1층),한식,추어탕,북아현동
향초밥집,서울특별시 서대문구 연희맛로 18 (연희동(지상2층)),서울특별시 서대문구 연희동  188번지 65호  (지상2층),일식,초밥,연희동
거북이집,서울특별시 서대문구 연희맛로 12-1 (연희동),서울특별시 서대문구 연희동  188번지 11호  ,한식,한정식,연희동
영화반점,서울특별시 서대문구 북아현로2길 5 (북아현동(지상1층)),서울특별시 서대문구 북아현동  130번지 11호  (지상1층),중국식,탕수육자장면,충현동
놀부부대찌개와 철판구이,서울특별시 서대문구 이화여대2길 4 (대현동(지상1층)),서울특별시 서대문구 대현동  45번지 33호  (지상1층),한식,놀부부대찌개,신촌동
어바웃샤브이대점,서울특별시 서대문구 이화여대8길 2 (대현동(201호)),서울특별시 서대문구 대현동  54번지 1호  (201호),경양식,소고기샤브,신촌동
녹원,서울특별시 서대문구 연희로25길 22 (연희동지상1층),서울특별시 서대문구 연희동  82번지 3호  지상1층,한식,쌈밥,연희동
미소,서울특별시 서대문구 충정로 53 (충정로2가유원골든타워 지하1층),서울특별시 서대문구 충정로2가  191번지  유원골든타워 지하1층,일식,모듬회.회정식,충현동
포베이신촌점,서울특별시 서대문구 연세로 27-1 (창천동),서울특별시 서대문구 창천동  33번지 27호  ,외국음식전문점(인도태국등),오코노미야끼,신촌동
포베이신촌점,서울특별시 서대문구 연세로 27-1 (창천동),서울특별시 서대문구 창천동  33번지 27호  ,외국음식전문점(인도태국등),오코노미야끼,신촌동
충정각,서울특별시 서대문구 충정로2길 8 (충정로3가(지상1층)),서울특별시 서대문구 충정로3가  360번지 22호  (지상1층),경양식,파스타,충현동
석산,서울특별시 서대문구 홍제내길 124 (홍제동(지상2층)),서울특별시 서대문구 홍제동  334번지 87호  (지상2층),한식,돼지고기구이,홍제제1동
장인추어탕,서울특별시 서대문구 통일로9안길 20-16 (냉천동(지상1층)),서울특별시 서대문구 냉천동  184번지 4호  (지상1층),한식,추어탕,천연동
장인 얼큰이 칼국수보쌈,서울특별시 서대문구 통일로9안길 20-16 (냉천동(지상1층)),서울특별시 서대문구 냉천동  184번지 4호  (지상1층),한식,추어탕,천연동
지호한방삼계탕 연희점,서울특별시 서대문구 연희로25길 10 (연희동(지하1층~지상1층)),서울특별시 서대문구 연희동  78번지 20호  (지하1층~지상1층),한식,삼계탕,연희동
지호한방삼계탕 연희점,서울특별시 서대문구 연희로25길 10 (연희동(지하1층~지상1층)),서울특별시 서대문구 연희동  78번지 20호  (지하1층~지상1층),한식,삼계탕,연희동
팀 1994,서울특별시 서대문구 명물길 37 (창천동외 8필지(지상2층)),서울특별시 서대문구 창천동  45번지 1호  외 8필지(지상2층),경양식,파스타,신촌동
배영만 당진 아구동태찜탕,서울특별시 서대문구 증가로 123 (남가좌동 B동 1층),서울특별시 서대문구 남가좌동  338번지 1호  B동 1층,한식,해장국,남가좌제1동
함평면옥,,서울특별시 서대문구 대신동  85번지 1호  (지상2층),한식,갈비탕,신촌동
다도,서울특별시 서대문구 통일로11길 6-1 (옥천동(지상1층)),서울특별시 서대문구 옥천동  3번지  (지상1층),일식,모듬회,천연동
강수사,서울특별시 서대문구 연희로 157 (연희동 12층),서울특별시 서대문구 연희동  81번지 16호  12층,일식,초밥.회정식,연희동
엉터리수산,서울특별시 서대문구 세무서길 100 지하1층~지상1층 (홍제동),서울특별시 서대문구 홍제동  273번지 6호  지하1층~지상1층,한식,한정식,홍제제3동
신촌 간이역 즉석 떡볶이,서울특별시 서대문구 연세로 26 지하1층 (창천동),서울특별시 서대문구 창천동  31번지 30호  지하1층 전체,분식,짬뽕,신촌동
치폴레옹 연대신촌점,서울특별시 서대문구 연세로 26 지하1층 (창천동),서울특별시 서대문구 창천동  31번지 30호  지하1층 전체,분식,짬뽕,신촌동
신촌 간이역 즉석 떡볶이,서울특별시 서대문구 연세로 26 지하1층 (창천동),서울특별시 서대문구 창천동  31번지 30호  지하1층 전체,분식,짬뽕,신촌동
치폴레옹 연대신촌점,서울특별시 서대문구 연세로 26 지하1층 (창천동),서울특별시 서대문구 창천동  31번지 30호  지하1층 전체,분식,짬뽕,신촌동
행복식당,서울특별시 서대문구 연대동문길 26 (대신동(지상3층)),서울특별시 서대문구 대신동  50번지 1호  (지상3층),한식,찌게.삼겹살,신촌동
여우골 초밥(신촌점),서울특별시 서대문구 연세로5다길 10 (창천동),서울특별시 서대문구 창천동  62번지 11호  ,경양식,모듬초밥,신촌동
평택고여사집냉면,서울특별시 서대문구 연희로 81-9 (연희동(지상1층)),서울특별시 서대문구 연희동  193번지 13호  (지상1층),한식,평양식 물냉면,연희동
나주곰탕,서울특별시 서대문구 신촌역로 4 (대현동),서울특별시 서대문구 대현동  101번지 22호  ,한식,곰탕,신촌동
키즐리(kizzly),서울특별시 서대문구 연희로 81-5 (연희동4~5층),서울특별시 서대문구 연희동  193번지 2호  4~5층,경양식,피자파스타,연희동
미도참치,서울특별시 서대문구 연세로 37 지하1층 (창천동),서울특별시 서대문구 창천동  33번지 4호  ,한식,모듬초밥,신촌동
미도참치,서울특별시 서대문구 연세로 37 지하1층 (창천동),서울특별시 서대문구 창천동  33번지 4호  ,한식,모듬초밥,신촌동
호천식당,서울특별시 서대문구 연희로14길 5 (연희동),서울특별시 서대문구 연희동  136번지 26호  ,한식,샤브샤브,연희동
명동칼국수샤브샤브임광빌딩점,서울특별시 서대문구 통일로 87 (미근동 지하1층),서울특별시 서대문구 미근동  257번지  지하1층,한식,샤브샤브칼국수,충현동
장터참숯무한리필,서울특별시 서대문구 통일로 442-9 1층 (홍제동),서울특별시 서대문구 홍제동  253번지 14호  1층,한식,삼겹살,홍제제3동
무안뻘 낙지명가,서울특별시 서대문구 충정로 70 (미근동),서울특별시 서대문구 미근동  332번지  지하1층,한식,산낙지염포탕,충현동
유쾌한스시,서울특별시 서대문구 연희맛로 7-7 12층 (연희동),서울특별시 서대문구 연희동  192번지 9호  12층,일식,생선초밥,연희동
전라도식이네집,서울특별시 서대문구 수색로2길 18 (남가좌동),서울특별시 서대문구 남가좌동  102번지 6호  ,한식,홍어삼합,남가좌제1동
서대문족발,서울특별시 서대문구 통일로 107-13 (미근동지하1층지상1~2층),서울특별시 서대문구 미근동  179번지  지하1층지상1~2층,한식,족발,충현동
진부령 황태,서울특별시 서대문구 통일로 105 지상2층 (미근동),서울특별시 서대문구 미근동  196번지  ,한식,황태해장국,충현동
(주)타워차이,서울특별시 서대문구 연세로 50 3층 (신촌동 신촌세브란스병원),서울특별시 서대문구 신촌동  134번지  ,중국식,짜장짬봉,신촌동
도쿄미가(주)와라이,서울특별시 서대문구 연세로 50 3층 (신촌동 세브란스병원본관),서울특별시 서대문구 신촌동  134번지  ,일식,회,신촌동
서대문영양족발,서울특별시 서대문구 통일로 377 (홍제동 지하1층지상1층),서울특별시 서대문구 홍제동  90번지 53호  지하1층지상1층,한식,족발,홍제제2동
채선당(북가좌점),서울특별시 서대문구 응암로 54 2층 (북가좌동 서부프라자),서울특별시 서대문구 북가좌동  306번지 17호  서부프라자,한식,샤브샤브,북가좌제1동
한씨옥,서울특별시 서대문구 연희로25길 92 (연희동 1.2층),서울특별시 서대문구 연희동  90번지 12호  1.2층,한식,한정식,연희동
